user_id,new.cl.w2,new.cl.w3,new.cl.w4,new.cl.w5,new.cl.w6,new.cl.w7,new.cl.w8,new.cl.w9,new.cl.w10,new.cl.w11,new.cl.w12,new.cl.w13
161,NA,NA,NA,NA,A_POS-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
162,SAS-ONLY_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
164,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_MANY-ACT_BAL_MC,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL
165,MA_ALL-ACT_BAL,DISENGAGED,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,A_POS-DIFF
166,A_POS-DIFF,SAS-MOSTLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_BAL_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,HA_BAL
167,SAS-ONLY_BAL,SAS-MOSTLY_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,HA_NEG-DIFF_MC,A_POS-DIFF,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
169,MA_ALL-ACT_BAL,NA,NA,MA_ALL-ACT_BAL,DISENGAGED,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,HA_NEG-DIFF_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_BAL
170,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,A_POS-DIFF,NA,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,NA,SAS-ONLY_BAL,SAS-ONLY_BAL,SAS-ONLY_BAL
172,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
174,A_POS-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_MANY-ACT_BAL_MC,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
175,NA,DISENGAGED,NA,NA,NA,SAS-ONLY_BAL,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,DISENGAGED,NA,NA,SAS-ONLY_BAL
