user_id,cl.w2,cl.w3,cl.w4,cl.w5,cl.w6,cl.w7,cl.w8,cl.w9,cl.w10,cl.w11,cl.w12,cl.w13,lca5
366,5,1,4,1,3,3,3,2,1,4,3,2,3
370,4,4,3,2,1,3,3,4,3,3,1,1,1
371,4,1,NA,1,1,3,5,1,1,3,3,1,3
372,5,1,4,2,4,3,1,4,1,2,1,2,1
373,2,1,2,2,1,3,3,2,3,3,1,2,2
374,2,1,2,1,1,2,1,4,2,3,1,5,2
375,1,1,2,1,1,2,3,2,3,1,3,1,2
378,2,3,1,1,4,3,2,3,4,1,1,3,5
379,1,5,5,2,3,2,1,1,3,1,2,2,3
380,2,3,4,2,1,3,1,4,1,2,1,2,1
381,4,5,3,4,1,3,1,1,5,3,1,1,1
382,5,3,2,2,3,3,4,4,NA,1,2,2,4
383,3,2,1,1,1,1,2,3,3,1,2,2,5
384,3,3,2,2,4,2,1,1,5,3,3,4,2
386,2,3,3,4,3,3,5,4,1,3,1,NA,1
387,2,2,2,3,3,1,2,2,4,1,NA,1,4
388,1,1,3,1,1,3,5,1,1,2,1,1,1
390,5,1,3,2,1,3,1,1,2,3,1,1,1
391,1,2,4,2,1,3,1,1,2,2,3,2,3
392,4,1,4,4,4,3,4,1,2,4,3,1,3
394,4,4,3,1,1,3,5,4,1,3,4,1,1
396,1,NA,3,4,1,3,4,1,2,4,3,1,3
398,5,3,2,2,1,3,2,1,2,1,3,4,2
399,2,3,2,1,1,1,2,2,3,4,3,1,2
401,2,2,4,1,1,1,3,4,NA,3,4,1,2
403,1,NA,2,2,1,1,1,4,5,2,1,3,2
406,NA,1,3,2,1,2,4,1,2,2,1,4,1
407,NA,3,1,1,4,3,2,3,3,1,2,4,5
409,NA,4,2,2,4,1,3,1,1,2,1,4,2
410,NA,3,1,1,1,4,2,2,3,1,2,3,4
