user_id,W2_Sun,W2_Mon,W2_Tue,W2_Wed,W2_Thu,W2_Fri,W2_Sat,W3_Sun,W3_Mon,W3_Tue,W3_Wed,W3_Thu,W3_Fri,W3_Sat,W4_Sun,W4_Mon,W4_Tue,W4_Wed,W4_Thu,W4_Fri,W4_Sat,W5_Sun,W5_Mon,W5_Tue,W5_Wed,W5_Thu,W5_Fri,W5_Sat,W7_Sun,W7_Mon,W7_Tue,W7_Wed,W7_Thu,W7_Fri,W7_Sat,W8_Sun,W8_Mon,W8_Tue,W8_Wed,W8_Thu,W8_Fri,W8_Sat,W9_Sun,W9_Mon,W9_Tue,W9_Wed,W9_Thu,W9_Fri,W9_Sat,W10_Sun,W10_Mon,W10_Tue,W10_Wed,W10_Thu,W10_Fri,W10_Sat,W11_Sun,W11_Mon,W11_Tue,W11_Wed,W11_Thu,W11_Fri,W11_Sat,W12_Sun,W12_Mon,W12_Tue,W12_Wed,W12_Thu,W12_Fri,W12_Sat,W2_cnt,W3_cnt,W4_cnt,W5_cnt,W7_cnt,W8_cnt,W9_cnt,W10_cnt,W11_cnt,W12_cnt,tot_cnt,weekly_cnt_sd,weekly_entropy
916,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,2,1,0,0,0,0,0,3,1,0,0,1,2,0,1,1,0,0,0,6,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,1,1,0,2,1,3,2,4,3,2,1,3,3,24,0.9660917830792959,-0.10799580759447347
917,2,1,3,4,0,7,2,0,0,0,0,0,1,4,3,0,0,0,0,0,4,1,0,3,4,6,3,0,2,0,1,0,0,0,0,0,0,2,1,2,1,1,0,0,2,0,1,0,0,0,0,1,4,4,0,2,0,0,2,0,1,0,0,0,0,1,0,0,1,0,6,2,2,5,2,5,2,4,2,2,32,1.6193277068654826,-0.11504841388836519
918,0,2,3,4,0,0,0,0,2,0,1,1,0,1,0,1,1,4,0,0,1,1,1,3,1,1,0,5,0,1,0,1,0,1,1,0,1,0,3,0,0,1,0,0,1,1,0,0,1,0,2,0,2,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,1,3,4,4,6,4,3,3,2,3,2,34,1.1737877907772674,-0.10450422088252627
919,0,0,5,1,6,0,0,0,0,2,1,1,0,3,0,0,4,1,8,0,3,4,4,5,0,2,0,0,1,1,4,1,3,1,1,0,0,4,1,4,0,3,0,0,3,0,3,0,0,0,0,2,4,4,0,0,0,2,2,1,4,0,0,0,0,2,1,2,5,1,3,4,4,4,7,4,2,3,4,5,40,1.3333333333333333,-0.10388750263394728
920,0,0,4,5,3,0,0,0,5,4,4,4,0,1,0,0,4,2,3,0,0,2,0,2,6,0,1,0,0,0,2,1,1,1,0,0,0,3,4,5,1,2,0,0,2,5,2,0,0,0,0,0,0,3,0,5,0,0,3,4,2,0,0,0,0,4,5,2,1,0,3,5,3,4,4,5,3,2,3,4,36,0.9660917830792959,-0.10093067791663562
921,0,1,3,1,2,0,1,0,0,3,3,0,0,0,0,3,5,0,0,0,0,1,0,1,2,0,0,0,0,0,3,2,1,0,0,0,0,3,1,0,0,0,0,0,2,2,1,0,0,0,0,2,0,0,0,1,0,0,3,2,0,0,0,0,0,3,0,0,0,0,5,2,2,3,3,2,3,2,2,1,25,1.0801234497346435,-0.10961588304989466
922,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,4,0,1,0,0,1,0,5,0,0,1,0,0,0,6,0,0,1,0,0,0,4,0,0,1,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,4,0,1,0,0,1,2,2,3,2,2,2,2,2,3,21,0.5676462121975467,-0.10101491744105726
923,1,1,2,1,0,4,0,0,2,1,0,1,1,0,0,3,4,0,2,1,0,0,2,4,1,5,0,0,0,1,4,0,1,1,0,0,2,2,0,1,0,0,0,2,2,0,1,2,0,0,3,1,0,1,2,0,0,2,0,0,1,2,0,0,1,1,0,1,2,0,5,4,4,4,4,3,4,4,3,4,39,0.5676462121975467,-0.09696576717064237
924,0,4,1,2,3,0,0,1,4,0,4,1,0,0,1,1,0,1,1,0,0,4,2,0,2,2,0,0,1,2,1,2,2,0,0,1,2,0,1,5,0,0,0,0,0,2,2,2,0,1,4,0,1,2,0,0,1,3,0,2,1,0,0,0,3,0,0,0,2,0,4,4,4,4,5,4,3,4,4,2,38,0.7888106377466155,-0.09870923497737528
925,1,3,1,0,0,1,0,0,4,2,1,0,0,0,0,3,0,1,0,0,0,1,5,1,5,1,0,4,0,3,1,3,0,0,0,2,3,2,2,1,0,0,0,0,0,1,1,0,0,2,2,0,2,1,0,0,0,2,0,1,0,0,0,0,2,1,0,1,0,0,4,3,2,6,3,5,2,4,2,3,34,1.3498971154211057,-0.10749680119788614
