user_id,tot_video_cnt,median_video_cnt,mad_video_cnt,days_video_used,prop_video_used,tot_exe_cnt,median_exe_cnt,mad_exe_cnt,days_exe_used,prop_exe_used,tot_mcq_cnt,median_mcq_cnt,mad_mcq_cnt,days_mcq_used,prop_mcq_used,tot_mcog_cnt,median_mcog_cnt,mad_mcog_cnt,days_mcog_used,prop_mcog_used,tot_res_cnt,median_res_cnt,mad_res_cnt,days_res_used,prop_res_used
788,129,0,0,6,0.25,1126,1,1.4826,13,0.5416666666666666,92,0,0,6,0.25,1,0,0,1,0.041666666666666664,356,9.5,8.1543,24,1
789,199,0,0,4,0.16666666666666666,705,20.5,30.3933,17,0.7083333333333334,83,0,0,9,0.375,8,0,0,1,0.041666666666666664,388,15.5,6.6716999999999995,24,1
790,280,0,0,10,0.2702702702702703,876,0,0,10,0.2702702702702703,276,0,0,10,0.2702702702702703,35,0,0,12,0.32432432432432434,806,16,11.8608,37,1
791,347,0,0,10,0.3125,1343,0,0,15,0.46875,228,0,0,15,0.46875,16,0,0,9,0.28125,516,12,13.343399999999999,32,1
792,125,0,0,4,0.12903225806451613,1210,36,53.373599999999996,19,0.6129032258064516,91,0,0,9,0.2903225806451613,35,0,0,5,0.16129032258064516,347,9,8.8956,30,0.967741935483871
793,253,0,0,12,0.35294117647058826,681,5.5,8.1543,21,0.6176470588235294,172,0,0,8,0.23529411764705882,14,0,0,7,0.20588235294117646,340,7,5.9304,34,1
794,1458,0,0,14,0.4375,1139,4.5,6.6716999999999995,22,0.6875,177,0,0,13,0.40625,13,0,0,7,0.21875,632,11.5,12.6021,32,1
795,837,0,0,17,0.3148148148148148,1246,1.5,2.2239,34,0.6296296296296297,521,0,0,24,0.4444444444444444,301,1,1.4826,38,0.7037037037037037,1672,23,14.825999999999999,54,1
797,4,0,0,1,0.07692307692307693,941,93,83.0256,9,0.6923076923076923,0,0,0,0,0,13,0,0,2,0.15384615384615385,70,2,1.4826,13,1
798,271,0,0,4,0.18181818181818182,841,0.5,0.7413,11,0.5,17,0,0,2,0.09090909090909091,5,0,0,4,0.18181818181818182,372,9,8.1543,22,1
799,93,0,0,3,0.10714285714285714,972,1,1.4826,15,0.5357142857142857,55,0,0,6,0.21428571428571427,13,0,0,2,0.07142857142857142,260,5.5,5.1891,27,0.9642857142857143
800,90,0,0,3,0.09375,1196,0,0,14,0.4375,60,0,0,3,0.09375,0,0,0,0,0,581,13.5,14.0847,32,1
801,140,0,0,10,0.35714285714285715,942,24,35.5824,16,0.5714285714285714,268,0,0,7,0.25,39,0,0,10,0.35714285714285715,340,11.5,6.6716999999999995,28,1
