user_id,tot_ontopic_cnt,median_ontopic_cnt,mad_ontopic_cnt,ontopic_days,ontopic_prop,tot_revisit_cnt,median_revisit_cnt,mad_revisit_cnt,revisit_days,revisit_prop,tot_metacog_cnt,median_metacog_cnt,mad_metacog_cnt,metacog_days,metacog_prop,tot_orient_cnt,median_orient_cnt,mad_orient_cnt,orinet_days,orient_prop,tot_prj_cnt,median_prj_cnt,mad_prj_cnt,prj_days,prj_prop
1398,422,3.5,5.1891,9,0.5,188,0.5,0.7413,9,0.5,116,6,2.9652,17,0.9444444444444444,139,6,4.4478,18,1,6,0,0,4,0.2222222222222222
1400,1052,0,0,13,0.28888888888888886,821,0,0,19,0.4222222222222222,591,9,10.3782,45,1,466,6,5.9304,45,1,174,0,0,16,0.35555555555555557
1401,698,12,17.7912,13,0.5652173913043478,284,0,0,11,0.4782608695652174,221,8,4.4478,23,1,210,6,4.4478,23,1,69,0,0,6,0.2608695652173913
1402,731,0,0,13,0.38235294117647056,269,0,0,13,0.38235294117647056,203,5,4.4478,32,0.9411764705882353,243,3,2.9652,33,0.9705882352941176,45,0,0,6,0.17647058823529413
1403,0,0,0,0,0,266,0,0,5,0.45454545454545453,177,11,14.825999999999999,11,1,173,14,13.343399999999999,11,1,29,0,0,2,0.18181818181818182
1404,826,3,4.4478,21,0.5675675675675675,418,0,0,17,0.4594594594594595,447,8,7.412999999999999,37,1,442,9,8.8956,37,1,90,0,0,8,0.21621621621621623
1405,387,1,1.4826,12,0.5217391304347826,1463,14,20.7564,17,0.7391304347826086,347,14,17.7912,23,1,367,8,8.8956,23,1,65,0,0,6,0.2608695652173913
1406,249,0,0,8,0.47058823529411764,191,6,8.8956,9,0.5294117647058824,122,4,2.9652,17,1,100,2,1.4826,17,1,14,0,0,2,0.11764705882352941
1408,537,17,25.2042,15,0.5555555555555556,1,0,0,1,0.037037037037037035,106,2,1.4826,27,1,109,2,1.4826,26,0.9629629629629629,52,0,0,8,0.2962962962962963
1409,633,0,0,10,0.4,643,0,0,10,0.4,373,8,5.9304,25,1,382,8,7.412999999999999,25,1,136,0,0,8,0.32
1410,1118,19,28.1694,13,0.5909090909090909,1908,23.5,34.8411,15,0.6818181818181818,266,8,5.9304,22,1,224,8.5,5.9304,22,1,57,0,0,7,0.3181818181818182
1411,446,2,2.9652,10,0.5,204,1.5,2.2239,11,0.55,148,5,4.4478,20,1,135,4.5,4.4478,20,1,9,0,0,2,0.1
1418,1152,18,26.686799999999998,31,0.7560975609756098,85,0,0,7,0.17073170731707318,467,8,7.412999999999999,40,0.975609756097561,518,9,8.8956,41,1,177,0,0,10,0.24390243902439024
1420,576,0,0,11,0.44,171,0,0,8,0.32,157,4,2.9652,25,1,161,4,2.9652,25,1,67,0,0,5,0.2
1422,547,8,11.8608,15,0.5555555555555556,19,0,0,8,0.2962962962962963,473,11,7.412999999999999,27,1,309,9,7.412999999999999,27,1,133,0,0,7,0.25925925925925924
1423,415,0,0,8,0.32,1048,1,1.4826,13,0.52,165,5,4.4478,25,1,179,6,5.9304,25,1,23,0,0,3,0.12
1425,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0
1426,94,0,0,3,0.13043478260869565,69,0,0,5,0.21739130434782608,183,7,5.9304,23,1,178,6,4.4478,23,1,57,0,0,9,0.391304347826087
1427,165,0,0,5,0.4166666666666667,74,0,0,4,0.3333333333333333,55,2,1.4826,11,0.9166666666666666,57,2,1.4826,12,1,14,0,0,3,0.25
1430,984,1,1.4826,22,0.55,260,0,0,17,0.425,389,6,5.9304,39,0.975,277,5,3.7064999999999997,39,0.975,100,0,0,8,0.2
1445,93,0,0,4,0.21052631578947367,785,15,22.238999999999997,13,0.6842105263157895,178,7,7.412999999999999,19,1,179,8,4.4478,19,1,16,0,0,2,0.10526315789473684
1446,924,1,1.4826,13,0.52,257,0,0,9,0.36,214,5,4.4478,24,0.96,207,6,5.9304,25,1,60,0,0,6,0.24
1447,612,2,2.9652,15,0.6,274,0,0,9,0.36,271,7,7.412999999999999,24,0.96,139,4,4.4478,24,0.96,162,1,1.4826,13,0.52
